sequence_id,date
A/California/7/2009,2009.27
A/Brisbane/96/2012,2012.466
A/Bangladesh/2021/2012,2012.553
A/Wakayama-C/106/2015,2015.651
A/Thailand/CU-C5263/2014,2014.884
A/Lorestan/89914/2014,2014.864
A/Thailand/CU-C5169/2014,2014.768
A/Tasmania/17/2015,2015.445
A/Tasmania/27/2015,2015.5
A/Singapore/TT071/2015,2015.07
A/Oman/5074/2014,2014.714
A/Goias/82128/2014,2014.714
A/Victoria/504/2015,2015.311
A/HongKong/62/2015,2014.988
A/Virginia/40/2014,2014.974
A/Singapore/TT149/2015,2015.149
A/Washington/19/2015,2015.116
A/Washington/59/2014,2014.9
A/Samsun/80/2015,2015.04
A/SriLanka/60/2014,2014.848
A/Sivas/1327/2014,2014.812
A/Setif/2/2015,2015.01
A/Iceland/39/2015,2015.16
A/SaoPaulo/81635/2014,2014.766
A/Finland/492/2015,2015.127
A/Serbia/NS-1265/2015,2015.232
A/Tasmania/66/2015,2015.615
A/Victoria/3066/2015,2015.684
A/Perth/103/2015,2015.596
A/Israel/Q-504/2015,2015.955
A/Minnesota/32/2015,2015.519
A/Indiana/21/2016,2016.094
A/Scotland/60180122/2015,2015.996
A/Victoria/900/2016,2016.089
A/Ningbo/27/2021,2017.092
A/Iowa/53/2015,2015.938
A/Zhejiang-Liandou/15/2016,2016.007
A/Shanghai-Jiading/1970/2015,2015.93
A/Vietnam/6025/2016,2016.346
A/Victoria/503/2016,2016.378
A/Yunnan-Linxiang/SWL1758/2016,2016.474
A/Mozambique/IR495/2015,2015.136
A/Denmark/51/2014,2014.982
A/Nepal/670/2015,2015.158
A/India/Pun1415432/2014,2014.801
A/Valdivia/78346/2015,2015.837
A/Santiago/37244/2015,2015.407
A/Valparaiso/68954/2015,2015.747
A/Kenya/CDC-Kakamega-063/2014,2014.73
A/Kenya/CDC-Kakamega-065/2014,2014.878
A/Thailand/CU-B10909/2014,2014.725
A/Newcaledonia/58/2014,2014.379
A/Victoria/4096/2014,2014.848
A/Victoria/500/2015,2015.158
A/England/6/2015,2015.021
A/Tasmania/24/2014-egg,2014.505
A/Tasmania/24/2014,2014.505
A/HongKong/7531/2014,2014.741
A/Townsville/1019/2014,2014.711
A/Victoria/5074/2014,2014.812
A/NorthDakota/1/2015,2015.021
A/PuertoRico/42/2015,2015.826
A/Nicaragua/8173/2015,2015.442
A/Nicaragua/6171/2015,2015.61
A/Guatemala/86/2016,2016.206
A/Guatemala/6164/2016,2016.25
A/RioSanJuan/55/2016,2016.031
A/Perth/1056/2014,2014.916
A/SchleswigHolstein/9/2014,2014.944
A/Mures/176671/2015,2015.07
A/Victoria/50915/2015,2015.549
A/HongKong/12244/2015,2015.445
A/Vietnam/GS150197/2015,2015.273
A/Vietnam/GS150134/2015,2015.188
A/Yamaguchi/23/2015,2015.188
A/SaoPaulo/31474/2015,2015.27
A/Valparaiso/70939/2015,2015.766
A/VinaDelMar/60876/2015,2015.659
A/SaoPaulo/3453/2015,2015.056
A/PaysdeLoire/1384/2015,2015.16
A/Belgium/G683/2014,2014.927
A/SaoPaulo/22462/2015,2015.207
A/SouthAustralia/22/2015,2015.193
A/Ghana/DILI-15-1296/2015,2015.952
A/Wakayama/75/2015,2015.305
A/Volgograd/CRIE-122/2015,2015.281
A/Vladimir/CRIE-118/2015,2015.188
A/Florida/62/2014,2014.823
A/Hawaii/41/2015,2015.336
A/Taiwan/767/2015,2015.355
A/Singapore/TT944/2015,2015.492
A/Yokohama/50/2015,2015.089
A/Luxembourg/14069580/2014,2014.963
A/Ulsan/58/2015,2015.032
A/Lisbon/EVA60/2015,2015.012
A/Tsiroanomandidy/3864/2015,2015.689
A/Tsaralalana/1278/2015,2015.223
A/Bangladesh/9584/2015,2015.418
A/Zambia/6/2015,2015.862
A/Zambia/4-00308/2015,2015.549
A/Trinidad/242/2015,2015.941
