sequence_id,date,clade,subclade,region,country
A/California/7/2009,2009.27,unassigned,unassigned,North America,USA
A/Brisbane/96/2012,2012.466,unassigned,unassigned,Oceania,Australia
A/Bangladesh/2021/2012,2012.553,unassigned,unassigned,South Asia,Bangladesh
A/Wakayama-C/106/2015,2015.651,6B,unassigned,Japan Korea,Japan
A/Thailand/CU-C5263/2014,2014.884,6B,unassigned,Southeast Asia,Thailand
A/Lorestan/89914/2014,2014.864,6B,unassigned,West Asia,Iran
A/Thailand/CU-C5169/2014,2014.768,6B,unassigned,Southeast Asia,Thailand
A/Tasmania/17/2015,2015.445,6B,unassigned,Oceania,Australia
A/Tasmania/27/2015,2015.5,6B,unassigned,Oceania,Australia
A/Singapore/TT071/2015,2015.07,6B,unassigned,Southeast Asia,Singapore
A/Oman/5074/2014,2014.714,6B,unassigned,West Asia,Oman
A/Goias/82128/2014,2014.714,6B,unassigned,South America,Brazil
A/Victoria/504/2015,2015.311,6B,unassigned,Oceania,Australia
A/HongKong/62/2015,2014.988,6B,unassigned,China,China
A/Virginia/40/2014,2014.974,6B,unassigned,North America,USA
A/Singapore/TT149/2015,2015.149,6B,unassigned,Southeast Asia,Singapore
A/Washington/19/2015,2015.116,6B,unassigned,North America,USA
A/Washington/59/2014,2014.9,6B,unassigned,North America,USA
A/Samsun/80/2015,2015.04,6B,unassigned,West Asia,Turkey
A/SriLanka/60/2014,2014.848,6B,unassigned,South Asia,Sri Lanka
A/Sivas/1327/2014,2014.812,6B,unassigned,West Asia,Turkey
A/Setif/2/2015,2015.01,6B,unassigned,Africa,Algeria
A/Iceland/39/2015,2015.16,6B,unassigned,Europe,Iceland
A/SaoPaulo/81635/2014,2014.766,6B,unassigned,South America,Brazil
A/Finland/492/2015,2015.127,6B,unassigned,Europe,Finland
A/Serbia/NS-1265/2015,2015.232,6B,unassigned,Europe,Serbia
A/Tasmania/66/2015,2015.615,6B.2,unassigned,Oceania,Australia
A/Victoria/3066/2015,2015.684,6B.2,unassigned,Oceania,Australia
A/Perth/103/2015,2015.596,6B.2,unassigned,Oceania,Australia
A/Israel/Q-504/2015,2015.955,6B.2,unassigned,West Asia,Israel
A/Minnesota/32/2015,2015.519,6B.2,unassigned,North America,USA
A/Indiana/21/2016,2016.094,6B.2,unassigned,North America,USA
