sequence_id,date
A/Victoria/210/2009,2009.418
A/Wisconsin/15/2009,2009.432
A/Perth/16/2009-egg,2009.264
A/Perth/16/2009,2009.264
A/Victoria/208/2009,2009.418
A/Perth/10/2010,2010.396
A/Iowa/19/2010,2010.996
A/Alaska/5/2010,2010.936
A/Stockholm/18/2011,2011.141
A/Southauckland/7/2012,2012.452
A/Victoria/361/2011,2011.999
A/Victoria/361/2011-egg,2011.001
A/Texas/50/2012,2012.999
A/Texas/50/2012-egg,2012.999
A/Zhejiang-Wuxin/130/2015,2015.018
A/Hawaii/22/2012,2012.52
A/Christchurch/516/2012,2012.515
A/Wisconsin/34/2014,2014.747
A/Zambia/6-020/2014,2014.73
A/Zambia/4-00021/2015,2015.07
A/Zambia/2-00106/2015,2015.229
A/Zambia/4-303/2014,2014.87
A/Zambia/4-288/2014,2014.944
A/Paraguay/3144/2014,2014.886
A/Santiago/70123/2014,2014.818
A/Tocantins/18288/2015,2015.166
A/Tocantins/16261/2015,2015.133
A/Norway/2326/2015,2015.355
A/Victoria/5076/2014,2014.821
A/Victoria/6001/2015,2015.01
A/Netherlands/876/2016,2016.111
A/Tucuman/I2377/2014,2014.733
A/Victoria/5065/2014,2014.73
A/Taiwan/775/2015,2015.385
A/Taiwan/504/2015,2015.207
A/RheinlandPfalz/13/2014,2014.853
A/Malta/MX001178/2014,2014.804
A/Austria/838274/2015,2015.081
A/Slovenia/1411/2015,2015.19
A/Stockholm/6/2014,2014.1
A/Uruguay/86/2015,2015.61
A/Zonguldak/3161/2016,2016.097
A/Norway/2665/2015,2015.856
A/Sachsen/2/2016,2016.048
A/SouthAustralia/55/2014,2014.446
A/Switzerland/9715293/2013,2013.999
A/Switzerland/9715293/2013-egg,2013.993
A/Tasmania/11/2014,2014.204
A/Kobe/63/2014,2014.385
A/Norway/466/2014,2014.092
A/Ulaanbaatar/4846/2014,2014.974
A/Tianjin-Hexi/195/2015,2015.086
A/Madagascar/3069/2014,2014.807
A/Lao/I1018/2014,2014.747
A/Yokohama/92/2014,2014.801
A/Shandong-Zhifu/1499/2014,2014.76
A/Vietnam/627/2014,2014.873
A/Vietnam/630/2014,2014.955
A/Yokohama/89/2014,2014.738
A/Shandong-Fushan/144/2014,2014.736
A/Zhejiang-Yongkang/147/2016,2016.042
A/Yunnan-Linxiang/11032/2014,2014.842
A/SaudiArabia/8/2014,2014.758
A/Yunnan-Wenshan/1805/2015,2015.76
A/Texas/88/2016,2016.149
A/Valdivia/72413/2015,2015.763
A/Talca/79797/2015,2015.848
A/Valparaiso/63203/2016,2016.671
A/Roraima/144238-IEC/2016,2016.799
A/Nevada/22/2016,2016.173
A/Perth/22/2016,2016.288
A/Idaho/33/2016-egg,2016.433
A/Idaho/33/2016,2016.433
A/Wellington/4/2016,2016.548
A/Townsville/51/2016,2016.949
A/Iceland/69/2017,2017.185
A/Ireland/98/2016,2016.993
A/NewZealand/831/2016,2016.633
A/Victoria/504/2016,2016.37
A/Norway/3545/2016,2016.365
A/Peru/27/2015,2015.281
A/Kenya/160/2018,2018.582
A/Colombia/6646/2017,2017.859
A/Texas/71/2017,2017.21
A/Virginia/27/2017,2017.264
A/SantaCatarina/918/2017,2017.79
A/Brazil/4139/2018,2018.593
A/Pernambuco/151608-IEC/2018,2018.127
A/Luxembourg/18015797/2018,2018.232
A/Kansas/14/2017,2017.999
A/Kansas/14/2017-egg,2017.999
A/Peru/6019/2019,2019.681
A/Wellington/53/2019,2019.727
A/Wellington/52/2019,2019.642
A/Indiana/8/2018,2018.1
A/Albania/80/2019,2019.212
A/Bolivia/3906/2018,2018.692
A/Yokosuka/NHRC_OID_FDX70722/2019,2019.292
A/Argentina/1333/2019,2019.536
A/Peru/6219/2019,2019.971
A/Argentina/2852/2019,2019.867
A/Pennsylvania/866/2019,2019.259
A/Italy/9690/2019,2019.275
A/Suriname/828/2019,2019.582
A/Victoria/975/2019,2019.314
A/Malta/53539/2019,2019.062
A/Latvia/3-012433/2019,2019.171
A/Peru/6619/2019,2019.774
A/Iceland/37/2020,2020.234
A/Austria/1210937/2019,2019.999
A/Brest/2490/2019,2019.826
A/Ireland/87568/2019,2019.832
A/Sweden/87/2020,2020.16
A/Victoria/2873/2019,2019.993
A/Victoria/79/2020,2020.165
A/Poland/1521/2020,2020.012
A/Melilla/1088/2020,2020.149
A/Norway/828/2020,2020.1
A/Luxembourg/LNS8654682/2020,2020.195
A/Netherlands/477/2020,2020.187
A/Singapore/22/2012,2012.43
A/Thailand/CU-H3689/2015,2015.141
A/Thailand/CU-B11065/2014,2014.785
A/HongKong/4801/2014,2014.999
A/HongKong/4801/2014-egg,2014.983
A/SriLanka/64/2014,2014.9
A/SriLanka/72/2014,2014.993
A/SriLanka/1/2015,2015.004
A/Townsville/1/2017,2017.144
A/Yokohama/139/2017,2017.382
A/Bermuda/362/2017,2017.089
A/Yokohama/31/2017,2017.045
A/Honduras/188/2017,2017.368
A/Yamanashi/1790/2017,2017.177
A/Yokohama/84/2017,2017.103
A/Singapore/TT0096/2017,2017.07
A/Indonesia/Nihrd-Pal350/2017,2017.171
A/Bangladesh/1010/2017,2017.314
A/Victoria/2018/2017,2017.316
A/Vaxjo/1/2017,2017.664
A/Hawaii/47/2014,2014.544
A/SaoPaulo/9-134/2014,2014.955
A/Tocantins/4622/2015,2015.051
A/Victoria/9/2015,2015.385
A/Stockholm/24/2014,2014.736
A/Victoria/944/2014,2014.84
A/Wyoming/9/2014,2014.771
A/Wyoming/17/2014,2014.897
A/NewCaledonia/71/2014,2014.615
A/SriLanka/8/2015,2015.229
A/SriLanka/73/2014,2014.771
A/SouthAfrica/R1734/2015,2015.319
A/Zambia/9-00008/2015,2015.862
A/SouthAfrica/R4157/2015,2015.448
A/Mozambique/IR499/2015,2015.138
A/SouthAfrica/R3989/2015,2015.511
A/SouthAfrica/4639/2016,2016.512
A/Oman/5494/2015,2015.796
A/Sapporo/71/2015,2015.955
A/Bangladesh/3400/2015,2015.396
A/Bangladesh/203006/2015,2015.922
A/Cambodia/FSS31758/2015,2015.936
A/Tunisia/559/2016,2016.034
A/South-Africa/VW0105/2016,2016.602
A/NordrheinWestfalen/39/2016,2016.171
A/Perugia/25/2016,2016.25
A/Oman/5191/2016,2016.436
A/Phuket/421/2016,2016.933
A/Wisconsin/20/2015,2015.149
A/Washington/37/2015,2015.344
A/Norway/2590/2015,2015.615
A/Uganda/215/2017,2017.059
A/Uganda/1610/2016,2016.116
A/Sendai-H/N280/2015,2015.558
A/Nebraska/19/2015,2015.81
A/Yokohama/109/2016,2016.184
A/SouthAfrica/R2665/2015,2015.396
A/Wellington/7/2015,2015.459
A/Townsville/37/2015,2015.796
A/Townsville/38/2015,2016.086
A/Wellington/4/2015,2015.538
A/Victoria/898/2015,2015.648
A/India/609/2015,2015.141
A/Michigan/15/2014,2014.999
A/HongKong/7127/2014-egg,2014.999
A/NewCaledonia/71/2014-egg,2016.327
A/Ordu/1603/2014,2014.834
A/Yokohama/81/2015,2015.166
A/Yokohama/88/2015,2015.3
A/Saitama/103/2014-egg,2014.878
A/Saitama/103/2014,2014.878
A/Yokohama/184/2014,2014.982
A/Yokohama/97/2014,2014.867
A/Victoria/509/2015,2015.311
A/Yokohama/5/2015,2015.015
A/Yokohama/55/2015,2015.089
A/Thailand/CU-B11843/2015,2015.308
A/Wyoming/2/2015,2015.04
A/Tehran/106491/2015,2015.303
A/SouthAfrica/5390/2015,2015.656
A/Bulgaria/477/2015,2015.158
A/Thailand/CU-B11518/2015,2015.051
A/Vologda/CRIE-22/2015,2015.062
A/Fiji/2/2015,2015.166
A/Wisconsin/69/2015,2015.497
A/Athens/2584/2016,2016.138
A/Parana/293/2016,2016.239
A/Yokohama/123/2016,2016.411
A/SouthAfrica/4363/2016,2016.493
A/Texas/183/2016,2016.665
A/Peru/8316/2016,2016.633
A/Valparaiso/33881/2016,2016.376
A/Vina/50464/2016,2016.537
A/Valparaiso/49572/2016,2016.447
A/Vietnam/171/2015,2015.242
A/Finland/504/2015,2015.034
A/Bulgaria/482/2015,2015.171
A/Ghana/FS-15-0773/2015,2015.96
