sequence_id,date,clade,subclade,region,country
A/Victoria/210/2009,2009.418,unassigned,unassigned,Oceania,Australia
A/Wisconsin/15/2009,2009.432,unassigned,unassigned,North America,USA
A/Perth/16/2009-egg,2009.264,unassigned,unassigned,Oceania,Australia
A/Perth/16/2009,2009.264,unassigned,unassigned,Oceania,Australia
A/Victoria/208/2009,2009.418,unassigned,unassigned,Oceania,Australia
A/Perth/10/2010,2010.396,unassigned,unassigned,Oceania,Australia
A/Iowa/19/2010,2010.996,unassigned,unassigned,North America,USA
A/Alaska/5/2010,2010.936,unassigned,unassigned,North America,USA
A/Stockholm/18/2011,2011.141,unassigned,unassigned,Europe,Sweden
A/Southauckland/7/2012,2012.452,3B,unassigned,Oceania,New Zealand
A/Victoria/361/2011,2011.999,3C,A,Oceania,Australia
A/Victoria/361/2011-egg,2011.001,3C,A,Oceania,Australia
A/Texas/50/2012,2012.999,3C,A,North America,USA
A/Texas/50/2012-egg,2012.999,3C,A,North America,USA
A/Zhejiang-Wuxin/130/2015,2015.018,3C,A,China,China
A/Hawaii/22/2012,2012.52,3C,A,North America,USA
A/Christchurch/516/2012,2012.515,3C,A,Oceania,New Zealand
A/Wisconsin/34/2014,2014.747,3C.3,A.3,North America,USA
A/Zambia/6-020/2014,2014.73,3C.3,A.3,Africa,Zambia
A/Zambia/4-00021/2015,2015.07,3C.3,A.3,Africa,Zambia
A/Zambia/2-00106/2015,2015.229,3C.3,A.3,Africa,Zambia
A/Zambia/4-303/2014,2014.87,3C.3,A.3,Africa,Zambia
A/Zambia/4-288/2014,2014.944,3C.3,A.3,Africa,Zambia
A/Paraguay/3144/2014,2014.886,3C.3,A.3,South America,Paraguay
A/Santiago/70123/2014,2014.818,3C.3,A.3,South America,Chile
A/Tocantins/18288/2015,2015.166,3C.3,A.3,South America,Brazil
A/Tocantins/16261/2015,2015.133,3C.3,A.3,South America,Brazil
A/Norway/2326/2015,2015.355,3C.3,A.3,Europe,Norway
A/Victoria/5076/2014,2014.821,3C.3b,A.3.2,Oceania,Australia
A/Victoria/6001/2015,2015.01,3C.3b,A.3.2,Oceania,Australia
A/Netherlands/876/2016,2016.111,3C.3b,A.3.2,Europe,Netherlands
A/Tucuman/I2377/2014,2014.733,3C.3b,A.3.2,South America,Argentina
A/Victoria/5065/2014,2014.73,3C.3b,A.3.2,Oceania,Australia
A/Taiwan/775/2015,2015.385,3C.3b,A.3.2,China,Taiwan
A/Taiwan/504/2015,2015.207,3C.3b,A.3.2,China,Taiwan
A/RheinlandPfalz/13/2014,2014.853,3C.3b,A.3.2,Europe,Germany
A/Malta/MX001178/2014,2014.804,3C.3b,A.3.2,Europe,Malta
A/Austria/838274/2015,2015.081,3C.3b,A.3.2,Europe,Austria
A/Slovenia/1411/2015,2015.19,3C.3b,A.3.2,Europe,Slovenia
A/Stockholm/6/2014,2014.1,3C.3,A.3,Europe,Sweden
A/Uruguay/86/2015,2015.61,3C.3,A.3,South America,Uruguay
A/Zonguldak/3161/2016,2016.097,3C.3,A.3,West Asia,Turkey
A/Norway/2665/2015,2015.856,3C.3,A.3,Europe,Norway
A/Sachsen/2/2016,2016.048,3C.3,A.3,Europe,Germany
A/SouthAustralia/55/2014,2014.446,3C.3a,C,Oceania,Australia
A/Switzerland/9715293/2013,2013.999,3C.3a,C,Europe,Switzerland
A/Switzerland/9715293/2013-egg,2013.993,3C.3a,C,Europe,Switzerland
A/Tasmania/11/2014,2014.204,3C.3a,C,Oceania,Australia
A/Kobe/63/2014,2014.385,3C.3a,C,Japan Korea,Japan
A/Norway/466/2014,2014.092,3C.3a,C,Europe,Norway
A/Ulaanbaatar/4846/2014,2014.974,3C.3a,C,West Asia,Mongolia
A/Tianjin-Hexi/195/2015,2015.086,3C.3a,C,China,China
A/Madagascar/3069/2014,2014.807,3C.3a,C,Africa,Madagascar
A/Lao/I1018/2014,2014.747,3C.3a,C,Southeast Asia,Laos
A/Yokohama/92/2014,2014.801,3C.3a,C,Japan Korea,Japan
A/Shandong-Zhifu/1499/2014,2014.76,3C.3a,C,China,China
A/Vietnam/627/2014,2014.873,3C.3a,C,Southeast Asia,Vietnam
A/Vietnam/630/2014,2014.955,3C.3a,C,Southeast Asia,Vietnam
A/Yokohama/89/2014,2014.738,3C.3a,C,Japan Korea,Japan
A/Shandong-Fushan/144/2014,2014.736,3C.3a,C,China,China
A/Zhejiang-Yongkang/147/2016,2016.042,3C.3a,C,China,China
A/Yunnan-Linxiang/11032/2014,2014.842,3C.3a,C,China,China
A/SaudiArabia/8/2014,2014.758,3C.3a,C,West Asia,Saudi Arabia
A/Yunnan-Wenshan/1805/2015,2015.76,3C.3a,C,China,China
A/Texas/88/2016,2016.149,3C.3a,C,North America,USA
A/Valdivia/72413/2015,2015.763,3C.3a,C,South America,Chile
A/Talca/79797/2015,2015.848,3C.3a,C,South America,Chile
A/Valparaiso/63203/2016,2016.671,3C.3a,C,South America,Chile
A/Roraima/144238-IEC/2016,2016.799,3C.3a,C,South America,Brazil
A/Nevada/22/2016,2016.173,3C.3a,C,North America,USA
A/Perth/22/2016,2016.288,3C.3a,C,Oceania,Australia
A/Idaho/33/2016-egg,2016.433,3C.3a,C,North America,USA
A/Idaho/33/2016,2016.433,3C.3a,C,North America,USA
A/Wellington/4/2016,2016.548,3C.3a,C,Oceania,New Zealand
A/Townsville/51/2016,2016.949,3C.3a,C,Oceania,Australia
A/Iceland/69/2017,2017.185,3C.3a,C,Europe,Iceland
A/Ireland/98/2016,2016.993,3C.3a,C,Europe,Ireland
A/NewZealand/831/2016,2016.633,3C.3a,C,Oceania,New Zealand
A/Victoria/504/2016,2016.37,3C.3a,C,Oceania,Australia
A/Norway/3545/2016,2016.365,3C.3a,C,Europe,Norway
A/Peru/27/2015,2015.281,3C.3a,C,South America,Peru
A/Kenya/160/2018,2018.582,3C.3a,C,Africa,Kenya
A/Colombia/6646/2017,2017.859,3C.3a,C,South America,Colombia
A/Texas/71/2017,2017.21,3C.3a,C,North America,USA
A/Virginia/27/2017,2017.264,3C.3a,C,North America,USA
A/SantaCatarina/918/2017,2017.79,3C.3a,C,South America,Brazil
A/Brazil/4139/2018,2018.593,3C.3a,C,South America,Brazil
A/Pernambuco/151608-IEC/2018,2018.127,3C.3a,C,South America,Brazil
A/Luxembourg/18015797/2018,2018.232,3C.3a,C,Europe,Luxembourg
A/Kansas/14/2017,2017.999,3C.3a,C,North America,USA
A/Kansas/14/2017-egg,2017.999,3C.3a1,C.1,North America,USA
A/Peru/6019/2019,2019.681,3C.3a1,C.1,South America,Peru
A/Wellington/53/2019,2019.727,3C.3a1,C.1,Oceania,New Zealand
A/Wellington/52/2019,2019.642,3C.3a1,C.1,Oceania,New Zealand
A/Indiana/8/2018,2018.1,3C.3a1,C.1,North America,USA
A/Albania/80/2019,2019.212,3C.3a1,C.1,Europe,Albania
A/Bolivia/3906/2018,2018.692,3C.3a1,C.1,South America,Bolivia
A/Yokosuka/NHRC_OID_FDX70722/2019,2019.292,3C.3a1,C.1,Japan Korea,Japan
A/Argentina/1333/2019,2019.536,3C.3a1,C.1,South America,Argentina
A/Peru/6219/2019,2019.971,3C.3a1,C.1,South America,Peru
A/Argentina/2852/2019,2019.867,3C.3a1,C.1,South America,Argentina
A/Pennsylvania/866/2019,2019.259,3C.3a1,C.1,North America,USA
A/Italy/9690/2019,2019.275,3C.3a1,C.1,Europe,Italy
A/Suriname/828/2019,2019.582,3C.3a1,C.1,South America,Suriname
A/Victoria/975/2019,2019.314,3C.3a1,C.1,Oceania,Australia
A/Malta/53539/2019,2019.062,3C.3a1,C.1,Europe,Malta
A/Latvia/3-012433/2019,2019.171,3C.3a1,C.1,Europe,Latvia
A/Peru/6619/2019,2019.774,3C.3a1,C.1,South America,Peru
A/Iceland/37/2020,2020.234,3C.3a1,C.1,Europe,Iceland
A/Austria/1210937/2019,2019.999,3C.3a1,C.1,Europe,Austria
A/Brest/2490/2019,2019.826,3C.3a1,C.1,Europe,France
A/Ireland/87568/2019,2019.832,3C.3a1,C.1,Europe,Ireland
A/Sweden/87/2020,2020.16,3C.3a1,C.1,Europe,Sweden
A/Victoria/2873/2019,2019.993,3C.3a1,C.1,Oceania,Australia
A/Victoria/79/2020,2020.165,3C.3a1,C.1,Oceania,Australia
A/Poland/1521/2020,2020.012,3C.3a1,C.1,Europe,Poland
A/Melilla/1088/2020,2020.149,3C.3a1,C.1,Europe,Spain
A/Norway/828/2020,2020.1,3C.3a1,C.1,Europe,Norway
