host_group,collection_date,genome_id,genome_name,subtype,genome_length,decimal_date,year_int
Nonhuman Mammal,2007,1176117.6,Influenza A virus (A/swine/Spain/82108/2007(H3N2)),H3N2,1701,2007.0,2007
Nonhuman Mammal,2015-03-10,1640275.3,Influenza A virus (A/swine/Nebraska/A01489647/2015(H3N2)),H3N2,1701,2015.186301369863,2015
Human,2017-02-02,2037183.3,Influenza A virus (A/Georgia/5930/2017(H3N2)),H3N2,1701,2017.0876712328768,2017
Human,2015-10-18,1865711.5,Influenza A virus (A/California/107/2015(H3N2)),H3N2,1701,2015.7945205479452,2015
Human,2017-06-08,2035460.6,Influenza A virus (A/Alaska/29/2017(H3N2)),H3N2,1737,2017.4328767123288,2017
Human,2014-11-12,1916507.8,Influenza A virus (A/Kentucky/12/2014(H3N2)),H3N2,1701,2014.86301369863,2014
Avian,2020-04-03,11320.277957,Influenza A virus A/Muscovy duck/Vietnam/HN6220/2020,H3N2,1765,2020.2540983606557,2020
Human,2016-02-16,1865952.18,Influenza A virus (A/Michigan/50/2016(H3N2)),H3N2,1737,2016.1256830601096,2016
Human,2025-01-19,11320.969188,Influenza A virus A/New Mexico/09/2025,H3N2,1737,2025.0493150684931,2025
Human,2016-07-26,1915290.3,Influenza A virus (A/New Jersey/NHRC_93398/2016(H3N2)),H3N2,1730,2016.5655737704917,2016
Human,2008-11-06,1599802.3,Influenza A virus (A/Thailand/944/2008(H3N2)),H3N2,1698,2008.8469945355191,2008
Human,2024-03-20,11320.838939,Influenza A virus A/Colorado/ISC-1240/2024,H3N2,1737,2024.2158469945357,2024
Human,1991-12-17,1086915.3,Influenza A virus (A/Lyon/23672/1991(H3N2)),H3N2,1731,1991.958904109589,1991
Human,2014-07-28,1590860.3,Influenza A virus (A/Thailand/CU-B10422/2014(H3N2)),H3N2,1701,2014.5698630136983,2014
Human,2013-01-15,1740025.3,Influenza A virus (A/Ishikawa/91-262v/2013(H3N2)),H3N2,1762,2013.0383561643837,2013
Human,2015-10-05,1788669.14,Influenza A virus (A/Hawaii/70/2015(H3N2)),H3N2,1701,2015.7589041095891,2015
Avian,2014-04-22,1614193.3,Influenza A virus (A/duck/Anhui/A1860/2014(H3N2)),H3N2,1701,2014.304109589041,2014
Human,2014-09-22,2044172.3,Influenza A virus (A/Victoria/5064/2014(H3N2)),H3N2,1737,2014.7232876712328,2014
Human,2015-02-02,1677801.6,Influenza A virus (A/Japan/NHRC_20-B3384/2015(H3N2)),H3N2,1701,2015.0876712328768,2015
Human,2006-11-15,1054740.3,Influenza A virus (A/Malaysia/1674395/2006(H3N2)),H3N2,1732,2006.8712328767124,2006
Human,2000,1143819.4,Influenza A virus (A/Fujian/140/2000(H3N2)),H3N2,1733,2000.0,2000
Human,2016-05-03,1866185.14,Influenza A virus (A/Wisconsin/67/2016(H3N2)),H3N2,1737,2016.3360655737704,2016
Avian,1978,1353240.3,Influenza A virus (A/chicken/Hong Kong/37/1978(H3N2)),H3N2,1731,1978.0,1978
Nonhuman Mammal,2018-05,11320.278979,Influenza A virus A/canine/Henan/L06/2018,H3N2,1718,2018.3671232876711,2018
Human,2024-11-12,11320.825214,Influenza A virus A/Texas/USAFSAM-15549/2024,H3N2,1701,2024.863387978142,2024
Human,2015-01-07,1716964.3,Influenza A virus (A/Oklahoma/4466/2015(H3N2)),H3N2,1701,2015.0164383561644,2015
Human,2013-10-03,1515865.4,Influenza A virus (A/North Carolina/11/2013(H3N2)),H3N2,1701,2013.7534246575344,2013
Human,2015-09-07,1823794.5,Influenza A virus (A/Alaska/209/2015(H3N2)),H3N2,1701,2015.682191780822,2015
Human,2017-04-06,2019586.14,Influenza A virus (A/Hawaii/21/2017(H3N2)),H3N2,1737,2017.2602739726028,2017
Human,2024-12-20,11320.990764,Influenza A virus A/Utah/IVY-G25X95T9/2024,H3N2,1701,2024.967213114754,2024
Human,2001-03-14,1086936.4,Influenza A virus (A/Netherlands/118/2001(H3N2)),H3N2,1735,2001.1972602739727,2001
Human,2015-01-27,1804526.3,Influenza A virus (A/Quebec/26/2015(H3N2)),H3N2,1701,2015.0712328767124,2015
Human,2025-01-14,11320.989913,Influenza A virus A/Alaska/USAFSAM-15114/2025,H3N2,1701,2025.035616438356,2025
Human,2015-08-18,1783397.3,Influenza A virus (A/Thailand/CU-B12415/2015(H3N2)),H3N2,1701,2015.627397260274,2015
Human,2017-08-11,2065018.5,Influenza A virus (A/Nicaragua/9474_05/2017(H3N2)),H3N2,1737,2017.6082191780824,2017
Human,2014-12-29,1716922.3,Influenza A virus (A/North Carolina/4314/2014(H3N2)),H3N2,1701,2014.9917808219177,2014
